Record ID,Description,Status,Status Date,Parcel ID,Longitude,Latitude,ObjectId,Address ID,Street Number,Street Direction,Street Name,x,y
BLD2015-00730,A.K.A. W. WILLIS STE 204.  INTERIOR ONLY.  RESIDENTIAL BUILD OUT OF UNIT 204 AS PER ATTACHED.,CofO Issued,9/26/2022 4:00:00 AM,02000890.,-83.065518,42.350978,11,329189,441,W,CANFIELD STE. 204,-9246811.1662395,5213700.10418387
BLD2015-00799,PRMT C OF O ISSUED 02-27-2019,CofO Issued,2/27/2019 5:00:00 AM,22030080-4,-83.179643,42.418638,12,352279,17300,,SCHAEFER,-9259515.50312628,5223897.13929264
BLD2015-00943,,CofO Issued,8/22/2019 4:00:00 AM,16014954.,-83.129026,42.350262,13,490237,6511,,EPWORTH,-9253880.8444608,5213592.25458951
BLD2015-01214,,CofO Issued,1/8/2020 5:00:00 AM,16001721-4,-83.111536,42.331453,14,151670,5536,,MICHIGAN,-9251933.86656683,5210759.53383954
BLD2015-03027,"PER BZA GRANT 48-14, CHANGE LEGAL LAND USE FROM ""OFFICE, BUSINESS"" TO ""USED MOTOR VEHICLE SALES & MINOR MOTOR VEHICLE SERVICE"".",CofO Issued,3/28/2019 4:00:00 AM,13024858-62,-83.040922,42.387776,15,57823,7866,,CONANT,-9244073.15204395,5219244.56566774
BLD2015-03172,"CONSTRUCT A NEW (8,297 SQ. FT.) ADDTION TO AN EXISTING WAREHOUSE AS PER ATTACHED PLANS & CURRENT MICHIGAN BUILDING CODE. SUBJECT TO FIELD INSPECTION & APPROVAL. SEPARATE PERMITS PER TRADE",CofO Issued,9/21/2022 4:00:00 AM,05001129-60,-83.04516,42.348575,16,539398,3000,,CHRYSLER,-9244544.92404593,5213338.15013709
BLD2015-04213,"INTERIOR BUILD-OUT OF PREVIOUSLY ISSUED WHITE BOX PHASE (BLD2015-04210 TO CHANGE OCCUPANCY FROM 12 APTS TO TWO-FAMILY DWELLING, CONDOMINIUMS) AS PER SCOPE OF WORK AND PLANS IN CONJUNCTION WITH HDC CERT. #15-123.",CofO Issued,7/18/2019 4:00:00 AM,01000670-1,-83.052513,42.343972,17,221831,205,,ALFRED,-9245363.45626174,5212644.85773703
BLD2015-05445,REVISION 2 BLD15-03418 TO REFLECT INSTALLATION OF AN UNDERGROUND FIRE WATER STORAGE TANK & CHANGES TO MEP & FIRE SUPPRESS SYSTEMS IN THE PHASE II B/O PACKAGE OF A NEW CRITICAL CARE TOWER OF EXIST'G HOSPITAL.,CofO Issued,6/17/2019 4:00:00 AM,01003850-67,-83.054884,42.352073,18,260403,3901,,BEAUBIEN,-9245627.3947744,5213865.04413799
BLD2015-05513,TENANT BUILD-OUT OF AN 15340 SQ FT RETAIL BUILDING AS PER PLANS.,CofO Issued,10/5/2022 4:00:00 AM,22019026.,-83.248647,42.443205,19,257326,20811,W,EIGHT MILE,-9267196.99326898,5227602.35285689
BLD2015-05932,,CofO Issued,5/8/2019 4:00:00 AM,22031002-3,-83.178666,42.371998,20,536901,11435,,SCHAEFER,-9259406.74398378,5216866.85081729
BLD2015-07077,30 DAY TCO ISSUED 5/30/2017/30 DAY TCO ISSUED-02-19-2018/90 DAY TCO ISSUED-11-20-2018(ELECTRICAL),CofO Issued,9/28/2022 4:00:00 AM,01003850-67,-83.054884,42.352073,21,260403,3901,,BEAUBIEN,-9245627.3947744,5213865.04413799
BLD2015-07470,CHANGE OF OCCUPANCY FROM RETAIL TO ESTABLISH A 1 STORY MOSQUE IN A EXISTING BUILDING AS PER PLANS.,CofO Issued,12/20/2022 5:00:00 AM,22004921-4,-83.17724,42.372806,22,351231,13515,,PLYMOUTH,-9259248.00238991,5216988.60038069
BLD2015-07731,,CofO Issued,4/18/2019 4:00:00 AM,02001886.,-83.048259,42.33294,23,34313,1201,,WOODWARD,-9244889.9031479,5210983.45194345
BLD2015-08198,PERMANENT CERTIFICATE MAILED TO OWNER OF RECORD/SEE ATTACHED DOCUMENT,CofO Issued,3/22/2019 4:00:00 AM,20010657-61,-83.141268,42.321044,24,215174,3801,,TRENTON,-9255243.61766709,5209192.25531327
BLD2015-08499,"Permit extended til 4/25/17 per Deberdino/rs
CHANGE OF OCCUPANCY FROM CLASS C BAR (A-2) TO MINOR MOTOR VEHICLE REPAIR (S-1) AS PER BSEED GRANT #10-12 AS REGISTERED WITH WCRD IN A 1,440 SQ FT ONE STORY MASONRY BUILDING AND LEGALIZING OVERHEAD DOOR AS PER PLANS.",CofO Issued,11/10/2020 5:00:00 AM,09011265-8,-83.067025,42.410934,25,275642,13040,,JOS CAMPAU,-9246978.92471213,5222735.51518572
BLD2015-08706,CHANGE OF OCCUPANCY FROM BAR TO USED AUTO SALES AND MINOR REPAIR AS INDICATED ON PLANS.,CofO Issued,9/13/2019 4:00:00 AM,22013083-90,-83.213734,42.415364,26,147093,17321,W,MCNICHOLS,-9263310.49588692,5223403.4617679
BLD2016-00162,"(AKA 1395 W EIGHT MILE) TENANT BUILDOUT FOR NEW INDOOR COMMERCIAL HEALTH CLUB (PLANET FITNESS) IN A 19,800 SFT SPACE AS PER PLANS.",CofO Issued,5/27/2021 4:00:00 AM,01008224-5,-83.120166,42.445988,27,255146,1279,W,EIGHT MILE,-9252894.55377237,5228022.17862583
BLD2016-00552,PARKING GARAGE,CofO Issued,2/20/2020 5:00:00 AM,02000572-638,-83.054996,42.341031,28,255963,2645,,WOODWARD,-9245639.86255737,5212201.91821537
BLD2016-01177,ESTABLISH A RESTAURANT ON THE FIRST FLOOR IN A VACANT TENANT SPACE OF AN EXISTING (12) STORY BUILDING AS PER PROVIDED EPLAN DRAWINGS.,CofO Issued,1/18/2019 5:00:00 AM,20006242.,-83.147037,42.328289,29,162310,4880,,LAWNDALE,-9255885.81980948,5210283.10432537
BLD2016-01480,INTERIOR RENOVATIONS TO EXISTING  OFFFICES INTO A CLINIC RUN THROUGH ON 2ND FLOOR AS PER PLANS.,CofO Issued,2/14/2019 5:00:00 AM,02000712.,-83.057186,42.345435,30,347677,10,,PETERBORO,-9245883.65224221,5212865.2056516
BLD2016-01793,,CofO Issued,3/29/2019 4:00:00 AM,02001944.,-83.058333,42.344322,31,221985,81,,PETERBORO,-9246011.33569815,5212697.57208251
BLD2016-02113,CHANGE OF OCCCUPANCY FROM RETAIL TO ESTABLISH A CARRYOUT RESTAURANT IN AN EXISTING 1600 SFT BUILDING AS PER BZA # 34-15 RECORDED W/WCRD AND PLANS. SEPERATE PERMITS REQUIRED FOR TRADES. SUBJECT TO FIELD APPROVAL.,CofO Issued,5/3/2022 4:00:00 AM,21072255.,-82.947434,42.414883,32,540712,9900,,WHITTIER,-9233666.11548867,5223330.93526203
BLD2016-02137,"2-26-2019-Permanent Certificate of Occupancy issued
Customer will return Monday, 4/18/16 with correct payment.",CofO Issued,2/26/2019 5:00:00 AM,22006976.001,-83.181672,42.384635,33,347652,14039,W,GRAND RIVER,-9259741.3703731,5218771.17525509
BLD2016-05348,,CofO Issued,2/22/2019 5:00:00 AM,01001489.,-83.06393,42.362045,34,324425,246,EAST,FERRY,-9246634.39088812,5215367.25971012
BLD2016-05385,,CofO Issued,1/4/2023 5:00:00 AM,16007930.,-83.141699,42.41692,35,536386,6343,W,MCNICHOLS,-9255291.59636762,5223638.08354742
BLD2016-06411,"ESTABLISH A CABARET (SALES OR SERVICE) OF ALCHOLIC BEVERAGES FOR ONSITE CONSUMPTION & ENTERTAINMENT) IN A NEW, 2 STORY 7296 S/F BUILDING AS PER BSEED # 103-16 RECORED W/WCRD ON  AND PLANS.",CofO Issued,9/16/2019 4:00:00 AM,,-83.061497,42.344107,36,347598,474,,PETERBORO,-9246363.55056702,5212665.19037837
BLD2016-07394,"(A.K.A. 1620 MICHIGAN AVE - LEGAL ADDRESS) CONSTRUCT & ERECT A NEW 27,015 SQ FT PROFESSIONAL OFFICE BUILDING, OUTDOOR RECREATION FACILITY, W/ ACCESSORY BANQUET FACILITY AS PER PROVIDED DOCUMENTS.",CofO Issued,4/29/2021 4:00:00 AM,08000584-6,-83.069381,42.33196,37,256955,1680,,MICHIGAN,-9247241.19343244,5210835.87922908
BLD2016-07449,,CofO Issued,12/13/2019 5:00:00 AM,19003408.,-83.003596,42.401118,38,204249,10106,,GRINNELL,-9239918.0407306,5221255.6463005
BLD2016-08794,Permit Finaled In Error (Case Unfrozen)///90 DAY TCO ISSUED 04/09/2018sl,CofO Issued,2/12/2019 5:00:00 AM,14005986-6007,-83.137027,42.392752,39,543578,2390,,EWALD CIRCLE,-9254771.51170664,5219994.56343833
BLD2016-08798,,CofO Issued,7/29/2019 4:00:00 AM,14005949-60,-83.138432,42.391711,40,539274,2471,,EWALD CIRCLE,-9254927.9155912,5219837.65585138
BLD2016-08826,CHANGE OF OCCUPANCY FROM TRUCK STORAGE TO ESTABLISH AN ART GALLERY/STUDIO AS PER PLANS.,CofO Issued,3/4/2021 5:00:00 AM,04003529.,-83.068307,42.349179,41,539673,4225,,THIRD,-9247121.63629932,5213429.12688107
BLD2016-08892,PRMT C OF O ISSUED,CofO Issued,5/22/2019 4:00:00 AM,22002448.,-83.23121,42.357357,42,215485,19401,,JOY ROAD,-9265255.91530802,5214661.01395379
BLD2016-09144,PERMANENT CERTIFICATE OF OCCUPANCY ISSUED,CofO Issued,4/2/2019 4:00:00 AM,01000657-9,-83.052608,42.343328,43,542929,124,,ALFRED,-9245374.03161336,5212547.86410809
BLD2016-09678,,CofO Issued,1/23/2019 5:00:00 AM,01000872-4,-83.053737,42.348897,44,256957,320,,MACK,-9245499.71131846,5213386.65087526
BLD2016-09703,,CofO Issued,10/4/2019 4:00:00 AM,08000048.,-83.065227,42.323409,45,245292,1702,W,FORT,-9246778.77226768,5209548.32955191
BLD2016-09722,,CofO Issued,3/7/2019 5:00:00 AM,16007959.,-83.145252,42.416902,46,94896,7401,W,MCNICHOLS,-9255687.11451841,5223635.36938045
BLD2016-09764,ERECT A 4 STORY TOWNHOUSE W/ATTACHED GARAGE PER CERT OF APPRO # 16-4519 AND PLANS,CofO Issued,4/29/2021 4:00:00 AM,-501,-83.0517,42.3438,47,256562,248,,ALFRED,-9245272.95351572,5212618.95250908
BLD2017-00001,"EXPIRES: MAY 10, 2019ERECT A 4 STORY TOWNHOUSE W/ATTACHED GARAGE PER CERT OF APPT 16--4509 AND PLANS. SEE BLD2016-09764 FOR DETAILED PLAN",CofO Issued,2/3/2022 5:00:00 AM,-501,-83.0517,42.3438,48,256560,240,,ALFRED,-9245272.95351572,5212618.95250908
BLD2017-00004,EXPIRES:04-15-2019ERECT A 4 STORY TOWNHOUSE W/ATTACHED GARAGE PER CERT OF APPT 16--4509 AND PLANS. SEE BLD2016-09764 FOR DETAILED PLANS,CofO Issued,3/14/2019 4:00:00 AM,-501,-83.0517,42.3438,49,256555,220,,ALFRED,-9245272.95351572,5212618.95250908
BLD2017-00005,ERECT A 4 STORY TOWNHOUSE W/ATTACHED GARAGE PER CERT OF APPT 16--4509 AND PLANS. SEE BLD2016-09764 FOR DETAILED PLANS,CofO Issued,3/13/2019 4:00:00 AM,-501,-83.0517,42.3438,50,256554,216,,ALFRED,-9245272.95351572,5212618.95250908
BLD2017-00006,ERECT A 4 STORY TOWNHOUSE W/ATTACHED GARAGE PER CERT OF APPT 16--4509 AND PLANS. SEE BLD2016-09764 FOR DETAILED PLANS,CofO Issued,3/21/2019 4:00:00 AM,-501,-83.0517,42.3438,51,256553,212,,ALFRED,-9245272.95351572,5212618.95250908
BLD2017-00008,30 DAY TEMPORARY CERTIFICATE OF OCCUPANCY ISSUED (EXPIRES: 04-22-2019,CofO Issued,2/23/2022 5:00:00 AM,-501,-83.0517,42.3438,52,256561,244,,ALFRED,-9245272.95351572,5212618.95250908
BLD2017-00009,ERECT A 4 STORY TOWNHOUSE W/ATTACHED GARAGE PER CERT OF APPT 16--4509 AND PLANS. SEE BLD2016-09764 FOR DETAILED PLANS,CofO Issued,11/23/2022 5:00:00 AM,-501,-83.0517,42.3438,53,256558,232,,ALFRED,-9245272.95351572,5212618.95250908
BLD2017-00010,ERECT A 4 STORY TOWNHOUSE W/ATTACHED GARAGE PER CERT OF APPT 16--4509 AND PLANS. SEE BLD2016-09764 FOR DETAILED PLANS,CofO Issued,7/25/2023 4:00:00 AM,-501,-83.0517,42.3438,54,256556,224,,ALFRED,-9245272.95351572,5212618.95250908
BLD2017-00011,ERECT A 4 STORY TOWNHOUSE W/ATTACHED GARAGE PR CERT OF APPT16--4509 AND PLANS. SEE BLD2016-09764 FOR DETAILED PLANS,CofO Issued,8/18/2022 4:00:00 AM,-501,-83.0517,42.3438,55,256557,228,,ALFRED,-9245272.95351572,5212618.95250908
BLD2017-00013,ERECT A 4 STORY TOWNHOUSE W/ATTACHED GARAGE PER CERT OF APPT 16--4509 AND PLANS. SEE BLD2016-09764 FOR DETAILED PLANS,CofO Issued,5/6/2021 4:00:00 AM,-501,-83.0517,42.3438,56,256559,236,,ALFRED,-9245272.95351572,5212618.95250908
BLD2017-00142,(UNIT 9) ERECT A 2 STORY CARRIAGE HOUSE AS PER CERTIFICATE OF APPROPRIATENESS# 4509 AND PLANS.,CofO Issued,1/3/2019 5:00:00 AM,-504,-83.051504,42.343588,57,256541,2652,,JOHN R,-9245251.13489552,5212587.02290702
BLD2017-00143,"REFER TO BLD2017-00142 FOR PLANS/(UNIT 4) ERECT A 2 STORY, CARRIAGE HOUSE AS PER CERTIFICATE OF APPROPRIATENESS # 16-4509 AND PLANS.",CofO Issued,11/3/2023 4:00:00 AM,-504,-83.051504,42.343588,58,256536,2642,,JOHN R,-9245251.13489552,5212587.02290702
BLD2017-00144,"REFER TO BLD2017-00142 FOR PLANS.
(UNIT 3) ERECT A 2 STORY, CARRIAGE HOUSE AS PER CERTIFICATE OF APPPROPRIATENESS#16-4509 AND PLANS.",CofO Issued,12/8/2023 5:00:00 AM,-504,-83.051504,42.343588,59,256535,2640,,JOHN R,-9245251.13489552,5212587.02290702
BLD2017-00146,"(UNIT 5) ERECT A 2 STORY CARRIAGE HOUSE PER CERTIFICATE OF APPROPRIATENESS# 16-4509 AND PLANS.
REFER TO BLD2017-00142 FOR PLANS.",CofO Issued,12/8/2022 5:00:00 AM,-504,-83.051504,42.343588,60,256537,2644,,JOHN R,-9245251.13489552,5212587.02290702
BLD2017-00147,"REFER TO BLD2017-00142 FOR PLANS.
(UNIT 8) ERECT A NEW 2 STORY CARRIAGE HOUSE PER CERTIFICATE OF APPROPRIATENESS# 16-4509 AND PLANS.",CofO Issued,12/19/2022 5:00:00 AM,-504,-83.051504,42.343588,61,256540,2650,,JOHN R,-9245251.13489552,5212587.02290702
BLD2017-00148,"REFER TO BLD2017-00142 FOR PLANS.
(UNIT 11) ERECT A NEW 2 STORY CARRIAGE HOUSE PER CERTIFICATE OF APPROPRIATENESS #16-4509 AND PLANS.",CofO Issued,12/20/2022 5:00:00 AM,-504,-83.051504,42.343588,62,256543,2656,,JOHN R,-9245251.13489552,5212587.02290702
BLD2017-00150,"REFER TO BLD2017-00142 FOR PLANS(UNIT 2) ERECT A 3 STORY, CARRIAGE HOUSE PER CERTIFICATE OF APPROPRIATENESS #16-4509 AND PLANS.",CofO Issued,4/6/2021 4:00:00 AM,-504,-83.051504,42.343588,63,256534,2638,,JOHN R,-9245251.13489552,5212587.02290702
BLD2017-00151,"REFER TO BLD2017-00142 FOR PLANS(UNIT 10) ERECT A 3 STORY, CARRIAGE HOUSE PER CERTIFICATE OF APPROPRIATENESS #16-4509 AND PLANS.",CofO Issued,4/23/2021 4:00:00 AM,-504,-83.051504,42.343588,64,256542,2654,,JOHN R,-9245251.13489552,5212587.02290702
BLD2017-00152,"(UNIT 7) ERECT A 3 STORY, CARRIAGE HOUSE PER CERTIFICATE OF APPROPRIATENESS #16-4509 AND PLANS.",CofO Issued,3/19/2024 4:00:00 AM,-504,-83.051504,42.343588,65,256539,2648,,JOHN R,-9245251.13489552,5212587.02290702
BLD2017-00153,"REFER TO BLD2017-00142 FOR PLANS.///10 DAY TCO ISSUED 7/30/2018sl
30 DAY TCO EXTENDED-09-18-2018",CofO Issued,11/1/2023 4:00:00 AM,-504,-83.051504,42.343588,66,256538,2646,,JOHN R,-9245251.13489552,5212587.02290702
BLD2017-00155,"REFER TO BLD2017-00142 FOR PLANS.
(UNIT 1) ERECT A 2 STORY, CARRIAGE HOUSE PER CERTIFICATE OF APPROPRIATENESS #16-4509 AND PLANS.",CofO Issued,4/5/2021 4:00:00 AM,-504,-83.051504,42.343588,67,256533,2636,,JOHN R,-9245251.13489552,5212587.02290702
BLD2017-00541,,CofO Issued,4/18/2019 4:00:00 AM,22012034-41,-83.184143,42.408947,68,351371,14111,,PURITAN,-9260016.44083485,5222435.93460631
BLD2017-00822,CONSTRUCT NEW (3) STORY (9) UNIT RESIDENITAL BUILDING ON VACANT LAND PER HDC 16-4866 AS INDICATED ON PLANS.,CofO Issued,8/7/2019 4:00:00 AM,01000878-0,-83.054602,42.348569,69,256840,262,,MACK,-9245596.002678,5213337.24639898
BLD2017-00831,"SEE BLD2017-00831
AKA 16809, 16815, 16823 Constance. Erection of one 3 Unit One Story Wood Framed Townhouse 92'-9"" x 35'-6"" as per plans.///60 DAY TCO ISSUED 10/11/2018
PRE-PAID $506.00",CofO Issued,2/23/2019 5:00:00 AM,,,,70,,8401,,WOODMONT 6
BLD2017-01384,"Erection of a 6 story Mixed Use (40 Residential Units, 1 Retail Space and 1 Restaurant) Building as per plans.
(AKA 310 Alfred)",CofO Issued,7/23/2021 4:00:00 AM,01000647-8,-83.050496,42.344191,71,398067,2665,,Brush,-9245138.9248488,5212677.84182169
BLD2017-02073,"90 DAY TCO ISSUED (DEVELOPMENTAL ISSUES)
PERMANENT CERTIFICATE OF OCCUPANCY TO BE ISSUED ONCE ALL ISSUES ARE COMPLIED/REVISE BLD2016-00553 ISSUED 2/5/16 TO SHOW CHANGES IN SCOPE & COST OF WORK AS PER PLANS/PARTIAL PERMIT TO PERFORM & PROVIDE INT & EXT WORK FOR SPORTS ARENA & RELATED SITE AS PER PLANS.COMBINATION OF LEGAL PARCELS REQD PRIOR TO ISSUANCE OF C.OF O ** OWNER TO PROCEED AT OWN RISK**",CofO Issued,4/2/2019 4:00:00 AM,02000572-638,-83.054996,42.341031,72,255963,2645,,WOODWARD,-9245639.86255737,5212201.91821537
BLD2017-02418,BRUSH PARK BUILDING A2. PHASE 1 FOUNDATIONS AND FRAMING OF SUPERSTRUCTURE FOR A MIXED-USE RESIDENITAL (37 UNITS) AND COMMERCIAL BUILDING AS PER PLANS.,CofO Issued,3/28/2022 4:00:00 AM,01000687-8,-83.051167,42.34521,73,404725,320,,EDMUND PL,-9245213.62022713,5212831.31722444
BLD2017-03223,"ERECT A NEW 5 STORY, 360,000 SFT MIXED USE BUILDING WITH 231 RESIDENTIAL AND RETAIL W/ PARKING GARAGE AS PER PLANS.",CofO Issued,5/26/2021 4:00:00 AM,04001514-20,-83.080172,42.368233,74,257179,2911,W,GRAND BLVD,-9248442.44205759,5216299.56069366
BLD2017-03631,,CofO Issued,3/27/2019 4:00:00 AM,01000830.,-83.053189,42.348063,75,230537,314,,ELIOT,-9245438.70823751,5213261.03146253
BLD2017-03669,"PHASE II. INSTALLATION OF EXTERIOR CLADDING (WALLS & WINDOWS), INTERIOR BUILDOUT & BUILDING SYSTEMS IN CONJUNCTION WITH BLD2016-04756 & BLD2016-06995 AS PER PLANS.",CofO Issued,9/21/2020 4:00:00 AM,02001862-3,-83.052455,42.337782,76,256161,2125,,WOODWARD,-9245356.99973127,5211712.61536936
BLD2017-03670,CHANGE OF OCCUPANCY FROM RETAIL TO CARRYOUT RESTAURANT AS INDICATED ON PLANS   ( HEALTH DEPT. APPR REQUIRED ),CofO Issued,7/10/2019 4:00:00 AM,21002243.,-82.928147,42.406455,77,333708,17180,E,WARREN,-9231519.09646974,5222060.22844078
BLD2017-03770,PERMANENT CERTIFICATE OF OCCUPANCY ISSUED,CofO Issued,4/2/2019 4:00:00 AM,02000572-638,-83.054996,42.341031,78,255963,2645,,WOODWARD,-9245639.86255737,5212201.91821537
BLD2017-03771,PERMANENT CERTIFICATE OF OCCUPANCY,CofO Issued,4/2/2019 4:00:00 AM,02000572-638,-83.054996,42.341031,79,255963,2645,,WOODWARD,-9245639.86255737,5212201.91821537
BLD2017-03842,PERMENANT CERTIFICATE OF OCCUPANCY ISSUED,CofO Issued,3/7/2019 5:00:00 AM,20015010.,-83.157115,42.273527,80,2223,2251,S,FORT,-9257007.69763769,5202040.93262492
BLD2017-03904,CHANGE OF OCCUPANCY TO ESTABLISH TATTOO PARLOR IN (SUITE #C1) OF EXISTING MIXED USE BUILDING AS INDICATED ON PLANS.,CofO Issued,9/8/2022 4:00:00 AM,05003453-0,-83.040569,42.345972,81,258803,2501,,RUSSELL,-9244033.8562637,5212946.08652125
BLD2017-03959,PHASE 2: CONSTRUCT A STAMP & INJECTION MILDING FACTORY W/OFFICE AND WAREHOUSE ANS ACCESSORY PARKING LOT AS PER PLANS AND CODE,CofO Issued,10/28/2019 4:00:00 AM,15008513-78,-83.029151,42.394611,82,256952,7000,,GEORGIA,-9242762.81031782,5220274.77279778
BLD2017-04313,CHANGE OF OCCUPANCY TO ESTABLISH A MAJOR MOTOR VEHICLE REPAIR FACILITY (COLLISION WITH BUMP AND PAINT) AS PREVIOUSLY APPROVED UNDER BSEED GRANT#101-09 PER PLANS (NOT INCLUDING USED AUTO SALES PER CUSTOMER REQUEST).,CofO Issued,8/24/2020 4:00:00 AM,22000440-6,-83.259066,42.342064,83,215154,22400,W,WARREN,-9268356.83104356,5212357.49440825
BLD2017-04376,,CofO Issued,5/29/2019 4:00:00 AM,15013132.,-83.015622,42.360101,84,539429,3106,,BELLEVUE,-9241256.76892688,5215074.39031414
BLD2017-04640,INTERIOR AND EXTERIOR RENOVATIONS TO EXISTING 3 STORY TWO FAMILY DWELLING AS PER PLANS AND CERTIFICATE OF APPROPRIATENESS # 16-4509.,CofO Issued,6/17/2019 4:00:00 AM,01000677.001,-83.051618,42.34434,85,222133,261,,ALFRED,-9245263.82531747,5212700.28311392
BLD2017-04641,INTERIOR AND EXTERIOR RENOVATIONS TO EXISTING 3 STORY TWO FAMILY DWELLING AS PER PLANS AND CERTIFICATE OF APPROPRIATENESS #16-4509 AND PLANS.,CofO Issued,3/22/2019 4:00:00 AM,01000683-5,-83.051052,42.344591,86,543046,295,,ALFRED,-9245200.81848568,5212738.08702177
BLD2017-04642,,CofO Issued,4/12/2021 4:00:00 AM,01000679.,-83.051212,42.344516,87,222364,287,,ALFRED,-9245218.62960421,5212726.79101756
BLD2017-04643,PERMANENT CERTIFICATE OF OCCUPANCY ISSUED,CofO Issued,5/31/2019 4:00:00 AM,09001353-6,-83.036068,42.348852,88,262288,1948,,DIVISION,-9243532.80723564,5213379.87280685
BLD2017-04709,ERECTION OF A 22' L X 19'-6"" W X 28' H (744 SQ FT) TWO STORY OFFICE BUILDING AS PER PLANS.,CofO Issued,6/9/2022 4:00:00 AM,21001612.,-82.913823,42.410286,89,372069,18443,,MACK,-9229924.55608361,5222637.8149907
BLD2017-04839,"PERMANENT CERTIFICATE OF OCCUPANCY ISSUED
REVISED FROM BLD2017-03157 TO INCLUDE OFFICE SPACE ABOVE KID ROCK & MIKE'S PIZZA",CofO Issued,4/2/2019 4:00:00 AM,02000572-638,-83.054996,42.341031,90,255963,2645,,WOODWARD,-9245639.86255737,5212201.91821537
BLD2017-04840,"MOD OF EXIST'G ASSEMBLY GROUP CHURCH 2 EST. MIXED OCC & USE OF ASSEMBLY GROUP COMMUNITY HALL, BUS GROUP OFF, EDUCATIONAL GROUP DAYCARE FACILITY& STORAGE GROUP LOW-HAZARD W/EXT & INT ALTERATIONS AS PER DRAWINGS.REVISE (BLD2016-04142) TO REFLECT TRUE SCOPE OF WORK AS INDICATED ON PLANS. NO CHANGE IN COST OF CONSTRUCTION.(REVISE BLD2017-03259) TO SHOW CHANGE IN CONSTRUCTION TYPE AS INDICATED.
REVISE BLD2017-04171) TO SHOW CHANGES IN SCOPE OF WORK (FIRE SEPARATIONS) AS INDICATED ON PLANS.",CofO Issued,7/29/2022 4:00:00 AM,06002197.,-83.095869,42.377012,91,61123,1550,,TAYLOR,-9250189.82410457,5217622.38640195
BLD2017-05223,30 DAY TCO ISSUED 02/26/2018sl///45 DAY TCO EXTENSION ISSUED 04/12/2018sl,CofO Issued,1/29/2019 5:00:00 AM,,,,92,549054,3401,,PURITAN
